"filename", "language", "C++", "JSON", "Dart", "Markdown", "YAML", "Swift", "HTML", "XML", "Java Properties", "Gradle", "Kotlin", "comment", "blank", "total"
"c:\Users\yosrh\fluttertrain\instagram_flutter\pubspec.yaml", "YAML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 51, 8, 84
"c:\Users\yosrh\fluttertrain\instagram_flutter\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\yosrh\fluttertrain\instagram_flutter\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 16, 6, 59
"c:\Users\yosrh\fluttertrain\instagram_flutter\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\yosrh\fluttertrain\instagram_flutter\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 506, 287, 725, 13, 28, 56, 37, 470, 8, 92, 4, 298, 336, 2860
